Website Name,Date From,Date To,Row Count,Sessions,Engaged sessions,Views,Active users,New users,Total users,Total revenue
1st Choice Dating,2025-10-05,2025-10-11,3534,4712.0,3134.0,2525.0,4269.0,363.0,4308.0,100.0
1st Latin Women,2025-10-05,2025-10-11,8203,11174.0,8658.0,7089.0,10162.0,168.0,10184.0,400.0
A Foreign Affair,2025-10-05,2025-10-11,85021,192420.0,178463.0,102141.0,170581.0,872.0,170935.0,12745.0
A New Bride,2025-10-05,2025-10-11,4136,4898.0,4215.0,2526.0,4419.0,193.0,4444.0,100.0
A New Wife,2025-10-05,2025-10-11,5948,7753.0,6868.0,5044.0,7136.0,83.0,7169.0,0.0
AFA Dating,2025-10-05,2025-10-11,108,139.0,128.0,69.0,133.0,19.0,133.0,0.0
Acapulco Women,2025-10-05,2025-10-11,851,1078.0,886.0,563.0,959.0,56.0,969.0,0.0
Angels of Passion,2025-10-05,2025-10-11,3022,3648.0,3132.0,2367.0,3247.0,115.0,3257.0,300.0
Asia Love Mates,2025-10-08,2025-10-08,4,4.0,0.0,0.0,4.0,1.0,4.0,0.0
Asian Brides Online,2025-10-05,2025-10-11,42,45.0,26.0,12.0,42.0,7.0,42.0,0.0
Asian Love Mates,2025-10-05,2025-10-11,6961,8045.0,6940.0,4412.0,7413.0,341.0,7493.0,300.0
Asian Women,2025-10-05,2025-10-11,13283,18081.0,16431.0,11916.0,15571.0,326.0,15636.0,750.0
Bangkok Women,2025-10-05,2025-10-11,22232,26629.0,23300.0,17761.0,23895.0,979.0,24041.0,0.0
Barranquilla Dating,2025-10-05,2025-10-11,7723,10632.0,9609.0,6996.0,9187.0,159.0,9257.0,950.0
Barranquilla Singles,2025-10-05,2025-10-11,8966,12476.0,11600.0,6782.0,11161.0,150.0,11215.0,500.0
Barranquilla Women,2025-10-05,2025-10-11,5853,7014.0,6430.0,3289.0,6523.0,150.0,6566.0,1350.0
Cali Women,2025-10-05,2025-10-11,7600,9779.0,9085.0,9411.0,8989.0,215.0,9028.0,0.0
Cartagena Dating,2025-10-05,2025-10-11,2356,3447.0,3295.0,1903.0,3125.0,37.0,3139.0,0.0
Cartagena Women,2025-10-05,2025-10-11,2041,2870.0,2254.0,1383.0,2648.0,147.0,2683.0,150.0
Cebu Insights,2025-10-05,2025-10-11,7413,9247.0,3318.0,3084.0,7660.0,18.0,7726.0,0.0
Cebu Women,2025-10-05,2025-10-11,63397,91766.0,86325.0,59275.0,82421.0,907.0,82704.0,800.0
China Brides,2025-10-05,2025-10-11,14585,16969.0,10720.0,8224.0,16096.0,1643.0,16209.0,350.0
Chinese Brides,2025-10-09,2025-10-11,11,11.0,0.0,3.0,11.0,3.0,11.0,0.0
City of Brides,2025-10-05,2025-10-11,5462,6875.0,6436.0,3452.0,6352.0,108.0,6362.0,0.0
Colombian Bride,2025-10-05,2025-10-11,6795,7764.0,7386.0,4949.0,7479.0,90.0,7495.0,50.0
Colombian Dating,2025-10-06,2025-10-11,634,45075.0,44939.0,21595.0,45051.0,11265.0,45051.0,0.0
Colombian Lady,2025-10-05,2025-10-11,26041,31318.0,28551.0,16251.0,29104.0,478.0,29258.0,350.0
Colombian Match,2025-10-07,2025-10-07,9,14.0,14.0,4.0,9.0,1.0,9.0,0.0
Colombian Woman,2025-10-05,2025-10-11,17109,20678.0,17756.0,8337.0,19289.0,270.0,19368.0,1300.0
Costa Rica Women,2025-10-05,2025-10-11,16316,23173.0,20500.0,12085.0,20424.0,713.0,20590.0,2000.0
Date International,2025-10-05,2025-10-11,1157,1217.0,855.0,478.0,1208.0,108.0,1208.0,0.0
Davao Women,2025-10-05,2025-10-11,9272,10559.0,9234.0,5282.0,9954.0,382.0,9974.0,250.0
Filipina Brides Online,2025-10-08,2025-10-11,63,69.0,54.0,30.0,63.0,4.0,63.0,0.0
Filipino Bride,2025-10-05,2025-10-11,19877,23812.0,20275.0,13535.0,21809.0,354.0,21923.0,545.0
Filipino Women,2025-10-05,2025-10-11,19920,26116.0,24310.0,15629.0,23692.0,582.0,23818.0,1150.0
Foreign Affair,2025-10-05,2025-10-11,2833,3217.0,2321.0,1585.0,3006.0,198.0,3038.0,0.0
Foreign Bride,2025-10-05,2025-10-11,621,734.0,469.0,292.0,651.0,114.0,667.0,0.0
Foreign Ladies,2025-10-05,2025-10-11,8138,10583.0,8873.0,26.0,9435.0,275.0,9531.0,1020.0
Foreign Love Mates,2025-10-05,2025-10-11,1535,1757.0,1382.0,955.0,1655.0,120.0,1667.0,0.0
Honduras Dating,2025-10-05,2025-10-10,35,44.0,34.0,21.0,35.0,5.0,35.0,0.0
Honduras Women,2025-10-08,2025-10-08,10,15.0,15.0,6.0,15.0,3.0,15.0,0.0
International Dating,2025-10-05,2025-10-11,3247,4269.0,3627.0,1942.0,3748.0,158.0,3793.0,300.0
Island Ladies,2025-10-05,2025-10-11,8947,10561.0,9719.0,5092.0,9678.0,240.0,9744.0,50.0
Kiev Personals,2025-10-05,2025-10-11,5212,6517.0,6422.0,8896.0,5514.0,58.0,5520.0,0.0
Kiev Women,2025-10-05,2025-10-11,4952,5772.0,5559.0,7651.0,5286.0,115.0,5294.0,0.0
Latin Love Mates,2025-10-05,2025-10-11,5246,6584.0,5653.0,4236.0,5960.0,105.0,5983.0,450.0
Latin Personals,2025-10-05,2025-10-11,4493,5476.0,4813.0,2735.0,5207.0,248.0,5249.0,0.0
Latin Tour Order,2025-10-08,2025-10-11,16,19.0,8.0,6.0,12.0,1.0,16.0,0.0
Latin Women Online,2025-10-08,2025-10-11,7,7.0,7.0,2.0,7.0,1.0,7.0,0.0
Love Me,2025-10-05,2025-10-11,2333,5353.0,4082.0,2294.0,4725.0,590.0,4913.0,0.0
Manila Women,2025-10-05,2025-10-11,16439,20180.0,18439.0,9124.0,18425.0,425.0,18555.0,100.0
Medellin Dating,2025-10-05,2025-10-11,29310,41588.0,38336.0,27255.0,36149.0,405.0,36333.0,1200.0
Medellin Singles,2025-10-05,2025-10-11,3994,4982.0,4542.0,3081.0,4567.0,163.0,4608.0,0.0
Medellin Women,2025-10-05,2025-10-11,19508,25973.0,24410.0,16987.0,23336.0,235.0,23420.0,200.0
Mexican Love Mates,2025-10-05,2025-10-11,4970,7425.0,6853.0,3662.0,5521.0,132.0,5561.0,700.0
Mexico City Dating,2025-10-07,2025-10-10,15,15.0,11.0,9.0,15.0,1.0,15.0,0.0
Mexico Women,2025-10-05,2025-10-11,4481,6383.0,5437.0,4088.0,5791.0,194.0,5831.0,300.0
Moscow Ladies,2025-10-05,2025-10-11,991,1296.0,1162.0,553.0,1092.0,34.0,1094.0,0.0
My Dream Asian,2025-10-05,2025-10-11,6393,7341.0,6495.0,3644.0,6955.0,212.0,7023.0,0.0
My Mail Order Bride,2025-10-05,2025-10-11,2558,2799.0,2614.0,1450.0,2703.0,81.0,2722.0,0.0
Odessa Women,2025-10-05,2025-10-11,10914,14429.0,13717.0,18675.0,12751.0,425.0,12759.0,500.0
Peru Dating,2025-10-05,2025-10-09,44,51.0,37.0,17.0,39.0,5.0,44.0,0.0
Peru Women,2025-10-05,2025-10-11,7839,10329.0,9659.0,5145.0,9335.0,149.0,9368.0,200.0
Philippine Women,2025-10-05,2025-10-11,28756,38247.0,36489.0,23605.0,34685.0,529.0,34772.0,2050.0
Poltava Women,2025-10-05,2025-10-11,6657,7687.0,7437.0,8300.0,7269.0,161.0,7281.0,50.0
Russia Ladies,2025-10-05,2025-10-11,1699,2239.0,2048.0,3877.0,1916.0,36.0,1916.0,100.0
Russia Women,2025-10-05,2025-10-11,1602,2936.0,1817.0,1265.0,2664.0,331.0,2735.0,0.0
